id,task,task_type,status,depends_on,task_dir,acceptance_criteria,validation_command,completed_at,retry_count,notes
01,冻结现状与可执行基线,single-full,TODO,,tasks/01-baseline,实际命令结果与输入及源码指纹可追溯；容差性能和已知失败分类完整；缺必需结果拒绝,uv run --no-sync python packages/suspension_multibody/scripts/check_composable_baseline.py --check,,0,G9；新增脚本属于本任务；不得只检查文件存在
02,建立基础模型并消除导入闭环,single-full,TODO,01,tasks/02-modeling,独立进程任意顺序导入成功；SI坐标变换与稳定ID正确；基础模型无反向依赖；默认数值不变,uv run --no-sync pytest packages/suspension_multibody/tests/modeling packages/suspension_multibody/tests/architecture/test_import_boundaries.py -q,,0,G1;G5；新测试由本任务建立；冻结03与04消费的值对象
03,统一模板物理图和实例化协议,single-full,TODO,02,tasks/03-templates,声明及builder生成同种完整图；可变构件数与零刚体成立；K/C激活及属性与往返测试通过,uv run --no-sync pytest packages/suspension_multibody/tests/templates packages/suspension_multibody/tests/instantiation packages/suspension_multibody/tests/properties -q,,0,G2;G5;G8；不建role继承树；模板必须真实产出实体
04,实现端口自适应连接与全局规则,single-full,TODO,03,tasks/04-connections,几何平移姿态扰动独立变换校验通过；缺失歧义重复驱动及嵌套绕规则全部点名拒绝；可选分支同步收缩,uv run --no-sync pytest packages/suspension_multibody/tests/connections -q,,0,G3;G5;G8；全局D3不允许模板覆盖
05,迁移内置物理试验台模板,single-full,TODO,04,tasks/05-rigs,试验台真实产出刚体运动副运动与力；轴侧拥有车轮且车侧不重复；七种默认组合意图及输出声明保持,uv run --no-sync pytest packages/suspension_multibody/tests/rigs -q,,0,G2;G3;G7;G8；本步验模型图；07与11负责native穿透
06,收口子系统与SI仿真总成,single-full,TODO,05,tasks/06-assembly,六类子系统进入同一SI装配；两schema同物理输入产出一致模型；默认实体逐项对照；质量质心惯量守恒；全局规则保持,uv run --no-sync pytest packages/suspension_multibody/tests/subsystems packages/suspension_multibody/tests/studies packages/suspension_multibody/tests/vehicle_assembly packages/suspension_multibody/tests/tire_mass -q,,0,G2;G3;G4;G5;G8；前后轴嵌套按整车根规则；运行切换归07
07,解开请求路由并统一契约编译,single-full,TODO,06;08,tasks/07-compilation,rig不同于family可实跑；同一总成指纹跑两Study；准静态垂向轮胎进入残差且属性改变响应；公共运行切换且无KC转动态生产桥接,uv run --no-sync pytest packages/suspension_multibody/tests/simulation packages/suspension_multibody/tests/studies -q,,0,G4;G5;G7；协议不足先提问；case_parity与kc_parity须本行DONE前通过
08,收敛内核能力注册与实际分派,single-full,TODO,01,tasks/08-registry,全部宣称支持项最小文档达到处理器；已知未实现与未知区分；解析及标量方向导数能力一致；ABI及DAG保持,uv run --no-sync pytest packages/suspension_kernel/tests/test_registry_consistency.py packages/suspension_contracts/tests -q,,0,G6；先构建native；新测试由本任务建立
09,提取轮胎状态行为接口,single-full,TODO,08,tasks/09-native-state,求解器不直接处理具体轮胎状态；现有力律状态模式及导数事件回归通过；动态哈希与性能预算保持,uv run --no-sync pytest packages/suspension_kernel/tests -q,,0,G6；构建后测试；动态哈希性能及分层门须本行DONE前通过；不新增算法
10,收敛输出解码并薄化公共API,single-full,TODO,07;09,tasks/10-results-api,公共入口和历史结果兼容；无转向rack结果消失；派生输出不旁路；API不直接解码或算本构；旧指标逐值一致,uv run --no-sync pytest packages/suspension_multibody/tests/results packages/suspension_multibody/tests/outputs packages/suspension_multibody/tests/metrics packages/suspension_multibody/tests/architecture -q,,0,G1;G4;G7;G9；补充product全量；必要兼容物理不擅删
11,验证全新拓扑与试验台扩展,single-full,TODO,10,tasks/11-extension-proof,同台双横臂及合成拖曳臂两Study实际求解；同台整车及硬点姿态变动实际求解；复杂制动驱动替换实跑；核心文件哈希不变,uv run --no-sync pytest packages/suspension_multibody/tests/composable -q,,0,G2;G3;G8；synthetic夹具非产品；核心场景禁skip或mock；新测试由本任务建立
12,清理内部重复路径并验证文档与产物,single-full,TODO,11,tasks/12-release-docs,旧生产重复装配消除；现状文档准确；扩展示例运行；三包隔离安装后导入及native求解通过,uv run --no-sync python packages/suspension_multibody/scripts/check_composable_release.py,,0,G9；新增脚本由本任务建立；共享构建文件串行
13,独立完成A1至A10终局验收,single-full,TODO,12,tasks/13-acceptance,A1至A10逐条独立实跑含两schema一致SI及来源追踪；全量回归数值性能门无新增失败；核心场景不跳过；打包扩展证据完整,uv run --no-sync python packages/suspension_multibody/scripts/accept_composable_architecture.py --strict,,0,G1-G9；新增运行器属于本任务；全部DONE不代替独立验收
