id,scope,subject,old_owner,new_owner,callers,disposition,evidence
C0001,cpp-module,abi,abi,abi,cpp/src/abi/element_reader.cpp; cpp/src/abi/kernel_abi.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0002,cpp-module,mb_base,mb_base,mb_numeric|mb_dual|mb_config,cpp/src/base/angles.cpp; cpp/src/base/curves.cpp,split by symbol: numeric/dual/config,layering_baseline.json; CMakeLists.txt; MODULES.md
C0003,cpp-module,mb_cases,mb_cases,mb_cases,cpp/src/cases/axle_dynamic.cpp; cpp/src/cases/case_dispatch.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0004,cpp-module,mb_constraint,mb_constraint,mb_joint,cpp/src/constraint/kernel_directional_constraint.cpp; cpp/src/constraint/kernel_model_constraint.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0005,cpp-module,mb_contract,mb_contract,mb_contract,cpp/src/contract/contract_container.cpp; cpp/src/contract/contract_json.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0006,cpp-module,mb_energy,mb_energy,mb_model|mb_input (neutral data; exact landing unresolved),cpp/include/mb_energy/types.hpp,header-only; retain data boundary; landing needs review,layering_baseline.json; CMakeLists.txt; MODULES.md
C0007,cpp-module,mb_input,mb_input,mb_input,cpp/include/mb_input/types.hpp,header-only; retain data boundary; landing needs review,layering_baseline.json; CMakeLists.txt; MODULES.md
C0008,cpp-module,mb_integrator,mb_integrator,mb_solve_dynamic,cpp/src/integrator/kernel_events.cpp; cpp/src/integrator/kernel_integrator.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0009,cpp-module,mb_linalg,mb_linalg,mb_linear,cpp/src/linalg/kernel_linalg.cpp; cpp/include/mb_linalg/factorization_types.hpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0010,cpp-module,mb_model,mb_model,mb_model,cpp/src/model/directional.cpp; cpp/src/model/kernel_model.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
