id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,定义 study 概念与分派入口,DONE,study=quasi_static 与 study=dynamic 可声明；分派点唯一且可测试,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/studies -q,2026-09-23,0,新增 studies/ 包：study.py 声明两 study（time_semantics / tire_activation）、assembly.py 统一装配入口 build_study_assembly、bridge.py 显式桥接 FrontAxleAssembly→AxleDynamicsModel
2,统一装配入口,DONE,同一模型对象可分别配准静态与动态 case；有测试证明装配路径相同而非两条独立装配,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/studies -q,2026-09-23,0,study 选择与装配入口统一：preparation/kc_quasi_static.py 的 _assembly 改经 build_study_assembly；两 study 共用同一个 FrontAxleAssembly 实例（测试断言 is 同一对象）
3,建立垂向激活与现役 VerticalTireElement 的对照,DONE,垂向激活结果与现役 front_axle.py:561-574 的垂向轮胎逐项对照一致或差异有定量解释,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/studies -q,2026-09-23,0,垂向退化能力落地：bridge._vertical_tire 把 VerticalTireElement 读成 SI 轮胎（垂向刚度 mm→m、半径 mm→m），侧向/纵向在静平衡零滑移下自然不产力；未新增内核力律
4,实现准静态轮胎垂向退化,DONE,准静态下轮胎只贡献垂向刚度与尺寸质量；侧向与纵向输出为零或未激活,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/studies -q,2026-09-23,0,力律一致可用：studies.study.TIRE_MODELS 与 resolve_tire_activation 对三力律 × 两 study 全部接受；垂向退化是 study 属性而非力律属性
5,验证力律选择对准静态与动态一致可用,DONE,fiala/pac2002/native_brush 三力律 × 两 study 共 6 组合均可运行,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/studies -q,2026-09-23,0,轴侧轮胎质量落点（审核 B4）：AxleTire 新增 mass_kg/inertia_kg_m2（均 exclude=True，不进 model_dump），_tire_entry 在 mass>0 时发射；零质量路径文档逐字节不变
6,验证两 study 结果可对照,DONE,同一模型同一轮胎定义下两 study 结果可通过既有结果层对照,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/studies packages/suspension_multibody/tests/results -q,2026-09-23,0,基线未重录（用户裁决，同 05 口径）：kc_parity_check --check 0、case_parity_check 8 families accepted、dynamic_hash_sentinel --check 26 artifact 逐字节一致、--strict --final 0；tests/data 与 layering_baseline.json 无 diff
7,补齐轴侧轮胎质量发射落点,DONE,cases/axle_dynamic.py 把质量写进 tire entry；整轴总质量与质心不变,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/studies packages/suspension_multibody/tests/axle_dynamics -q,2026-09-23,0,门禁：tests/studies 23 passed、tests/cases 88 passed、ruff 全树通过、ty 全树通过、git diff --check 干净
8,重录 kc_baseline 与 perf 基线并逐项登记,DONE,重录前后值与判定依据写明；动态侧基线不受影响,uv run python packages/suspension_multibody/scripts/kc_parity_check.py --check && uv run python packages/suspension_multibody/scripts/kc_perf_gate.py,2026-09-23,0,**按用户裁决不做**（与 05 同口径）：kc_baseline 的 C 快照是由已退役 Python 求解器产出的冻结 oracle，kc_parity_check.py 的 --record 已随之移除，重录等于用被测实现重新推导 oracle。故 kc 家族默认发射保持无轮胎，oracle 继续有效、基线零改动。这不是遗漏，是登记的口径偏离。
9,跑门禁全集与全量回归,DONE,8 family 全通过；动态哈希保持或已登记；--strict --final 0；全量 pytest 无新增失败,uv run python packages/suspension_multibody/scripts/build_axle_native.py && uv run python packages/suspension_multibody/scripts/dynamic_hash_sentinel.py --check && uv run python packages/suspension_multibody/scripts/case_parity_check.py && uv run --package suspension-multibody pytest packages/suspension_multibody/tests -q,2026-09-23,0,全量套件 997 passed／1 skipped／1 xfailed（较 08 后的 974 增 23 = 本步 tests/studies 的 23 项）；kc_parity 0、case_parity 8 families accepted、dynamic_hash 26/26 逐字节一致、--strict --final 0、ruff/ty 全树通过、git diff --check 干净
10,收尾静态检查与状态回填,DONE,ruff/ty/git diff --check 干净；PROGRESS 含基线重录台账；父级状态由主代理回填,uv run --all-packages ruff check . && uv run --all-packages ty check . && git diff --check,2026-09-23,0,状态回填完成；PROGRESS 记录设计、偏离与门禁
