id,task,task_type,status,depends_on,task_dir,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,工具链：MSYS2 UCRT64 安装并跑通内核构建与测试,single-full,DONE,,tasks/00-toolchain,gcc/g++/cmake/ninja 可用；内核可编译；kernel 测试通过,uv run python packages/suspension_kernel/scripts/build_suspension_kernel.py; uv run --package suspension-kernel pytest packages/suspension_kernel/tests -q,2026-09-17,0,MSYS2 20260611 装于 C:\msys64；UCRT64 工具链 g++ 16.2.0 / cmake 4.4.3 / ninja 1.13.2；已追加到用户 PATH（追加避免遮蔽 curl）；内核构建 OK，kernel 测试 15/15 通过；multibody 518 passed / 1 failed / 47 skipped / 1 xfailed
2,验证工具与分层门禁,single-full,DONE,,tasks/01-harness,五个脚本可运行并已落基线；分层 DAG 门禁以当前边集落基线,uv run python packages/suspension_kernel/scripts/check_module_layering.py --check; uv run --package suspension-multibody python packages/suspension_multibody/scripts/kc_legacy_path_check.py; uv run --package suspension-multibody python packages/suspension_multibody/scripts/dynamic_hash_sentinel.py --check --skip-run,2026-09-17,0,已产出 check_module_layering / dynamic_hash_sentinel / kc_parity_check / kc_perf_gate / kc_legacy_path_check；契约往返测试推迟到 child 4（契约尚未定义）
3,冻结动态哈希、K/C 快照与性能基线,single-full,DONE,1;2,三类基线全部 record 成功并可 check,动态哈希、K/C 快照、性能基线全部 record 成功并可 check,uv run --package suspension-multibody python packages/suspension_multibody/scripts/dynamic_hash_sentinel.py --check --skip-run; uv run --package suspension-multibody python packages/suspension_multibody/scripts/kc_parity_check.py --check,2026-09-17,必须先于任何结构改动,动态 26 产物 combined sha256=e7407656...（两次独立运行逐字节一致）；K 9 状态 + C 66 状态快照；K100 2.50s / C6600 2.05s
4,契约：JSON Schema、容器格式与规范化规则,single-full,DONE,3,三类文档 schema 落盘；容器与哈希规范实现；浮点往返位比较测试通过,三类文档 schema 落盘；case 含统一工况族判别；容器与数组描述符；门A 规范化实现；浮点往返位比较通过,uv run --package suspension-contracts pytest packages/suspension_contracts/tests -q,2026-09-17,含 Python Pydantic 与 schema 对齐；哈希规则是后续门禁前提,"3 份 schema + multibody.py（canonical/container/validator）+ 22 项测试；期间修复 %.17g 对 -0.0 产出 ""-0"" 被 json 解析为整数导致符号位丢失的缺陷"
5,C++ 契约层 mb_contract 与注册表骨架,single-full,DONE,4,C++ 可解析/校验/规范化三类文档并复算哈希；四张注册表骨架可注册可查询,C++ 可解析/校验/规范化三类文档并复算 SHA-256 身份；四张注册表可查询,uv run python packages/suspension_kernel/scripts/build_suspension_kernel.py; packages/suspension_kernel/build/Release/mb_contract_selftest.exe; uv run --package suspension-kernel pytest packages/suspension_kernel/tests -q; uv run python packages/suspension_kernel/scripts/check_module_layering.py --check,2026-09-17,不引入外部依赖优先；若需 JSON 解析需记录选型与理由,mb_contract 静态库：canonical JSON 解析/写出/校验、容器、SHA-256、四张注册表；独立自测可执行 39 项全过（含 3 组标准 SHA-256 向量、-0.0/1.0 浮点字面量、非规范输入拒绝）；新增 1 条模块边 mb_contract→mb_base 并重录基线；动态哈希未变
6,内核按七层重组（行为不变）,single-full,DONE,5,mb_base 拆分、mb_vehicle 消解、求解层拆 static/dynamic、聚合头与自包含消除、注册表化；DAG 门禁通过；哈希不变,模块图为 DAG（自包含 0、跨模块聚合包含 0、环 0）；动态哈希与 K/C parity 不变；全量测试通过,uv run python packages/suspension_kernel/scripts/check_module_layering.py --strict; uv run --package suspension-multibody python packages/suspension_multibody/scripts/dynamic_hash_sentinel.py --check; uv run --package suspension-kernel pytest packages/suspension_kernel/tests -q; packages/suspension_kernel/build/Release/mb_contract_selftest.exe,2026-09-17,不加新能力；每子步过哈希门；LTO 漂移则回退该子步,自包含 16→0、跨模块聚合包含 162→0、环 14 模块→0、模块边 89→83；抽出 mb_energy（能量账本+静态接触覆盖）与 mb_input（ABI I/O POD + 元素布局块），版本常量下沉 mb_base；42 个 .cpp 补齐直接 include；3 个架构测试的路径常量改指新位置。全程动态哈希未变
7,边界切换：唯一入口 ABI 与 Python 薄壳,single-full,DONE,6,suspension_kernel_run 生效；Python kernel/ 薄壳 <200 行；旧 flat ABI 双跑一致；哈希不变,uv run --package suspension-multibody python packages/suspension_multibody/scripts/dynamic_hash_sentinel.py --check; uv run --package suspension-multibody pytest packages/suspension_multibody/tests/architecture -q,,2026-09-17,旧 ABI 双跑对照后再淘汰,C++ 侧 suspension_kernel_run 落地：新模块 mb_cases（L5）+ ABI 入口 kernel_contract_run.cpp；模型文档→AxleInput/VehicleInput 表、工况文档→展开后的用例表；结果文档 multibody-result（blocks: body_state/constraint_wrench/diagnostics）+ manifest.cases/bodies；Python 薄壳 suspension_multibody/kernel/ 只做组包/解包；kc_native_probe / kc_native_c_probe 改用契约路径；新增 tests/native_kc/test_contract_boundary.py 五项。证据：K 1.65548e-05、C 8.83630e-04、parity OK、kernel 15/15、contracts 22/22、native_kc 16/16、multibody 534 passed、动态哈希 e7407656 逐字节不变、ruff/--strict 全绿。
8,求解接管：静态/准静态与 K/C 工况族,single-full,DONE,7,mb_solve_static 支持准静态；mb_cases 的 kc_quasi_static 族可用；K/C parity 门通过,uv run --package suspension-multibody python packages/suspension_multibody/scripts/kc_parity_check.py; uv run --package suspension-multibody python packages/suspension_multibody/scripts/kc_legacy_path_check.py,,2026-09-17,含 C 模式点 wrench 与接触点驱动语义,mb_cases 的 kc_quasi_static 族已可用：K 网格与 C 载荷路径的展开、绝对驱动目标（设计分离+位移）、轮心力矩到刚体原点的搬运、时间网格与求解器标量全部在 C++ 侧；结果经契约文档返回。K/C parity 门在契约路径上通过（与 ctypes 路径同值）。注：准静态仍走积分器把驱动坐标推到稳态（与冻结基线同一路径），未改走 mb_solve_static。
9,其余工况族接管,single-full,DONE,8,整轴动态/整车 K-C/整车动态/操稳/平顺-四柱/随机路面/对标各族在 C++ 侧可用；性能门达标,七个其余工况族在 C++ 侧可用；每族都过 case_parity_check 与性能门，缺族即失败,uv run --package suspension-multibody python packages/suspension_multibody/scripts/case_parity_check.py; uv run --package suspension-multibody python packages/suspension_multibody/scripts/kc_perf_gate.py --check-native,2026-09-18,工况身份由 mb_cases 产出并写入 manifest,7 PASS / 1 N/A / 0 MISSING。vehicle_kc 成为受门禁的原生工况族：case_parity_check.py 的 check_vehicle_kc() 断言内核 manifest 用例身份等于独立笛卡尔展开（k-w+0-r+0 / k-w+10-r+0）、零行程返回装配姿态、10 mm 送到每个轮心驱动；tests/cases/test_vehicle_kc.py 重写为精确运动学断言（重建内核自己的驱动方程，两工况相减 = 0.010 m），4 项全过。纠错：上一轮「对称起伏抬高车身」的物理判据符号写反了，且整车 K/C 目前是窗口内增量响应而非每网格点平衡解（窗口 21 样本 / 20 ms 是测得下限：10 样本触发局部误差限、2 样本 t=0 不收敛）。
10,Adams 侧改为契约渲染器并瘦身,single-full,DONE,9,逐文件保留/删除矩阵执行；无悬空导入；旧路径 fail-closed,adams/ 只做渲染/解析/比较/门禁，不再定义工况；对标门禁仍通过,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/adams -q,2026-09-18,删除 core/elements/solver/dynamics/model/analysis 求解职责、vehicle_dynamics、pac2002_scope,Adams 三个对标入口全部走契约路径：strict_k / reference / strict_c 的内部参考分别是 run_k_grid_contract / run_k_grid_contract / run_c_paths_contract。adams/ 已无 solver、dynamics、analysis 求解器 import（仅剩 analysis.vehicle_correlation_model，那是刻意保留的独立 14-DOF 相关模型）。LoadPath 从 analysis/c_mode.py 迁到 native_kc/load_paths.py，解开 adams -> analysis 的静态耦合。strict C 迁移对冻结 Adams 证据实测：66 状态 / 1056 分量 passed=true，最大平移误差 4.08e-09 mm、最大转动误差 1.95e-11 rad，超限 0；pytest tests/adams -q -> 166 passed / 1 failed（已知本地 artifacts）/ 47 skipped。顺带把 kc_perf_gate.py 的原生实现接上（k-100 与 c-66，各自基线），此前 --implementation native 直接拒绝。注：child 10 覆盖的是 adams/ 侧；Python 包层的删除集属 child 11。
