id,task,task_type,status,depends_on,task_dir,acceptance_criteria,validation_command,completed_at,retry_count,notes
01,冻结现状基线与可执行验证命令,single-full,DONE,,tasks/20260922-01-baseline,现有全部门禁实测退出码与当前基线值可追溯；副表/装配/结果三处的现状事实有实测证据；01 冻结的门禁命令成为后续各步判据,uv run --package suspension-multibody pytest packages/suspension_multibody/tests -q,2026-09-22,0,产出：baseline_commands.md（逐条命令+退出码+摘要）、joint_inventory.md（8 种副的现状落点与截断点）、tire_mass_inventory.md（质量现状路径）、baseline_values.md（各基线文件当前值）；禁止依据旧任务 DONE 结论
02,统一副底座并拆除作者层的副类型截断,single-full,DONE,01,tasks/20260922-02-joint-foundation,任意总成可声明任意副；副表与内核 contract_registry 行数由测试强制一致；现有 3 种副的文档编码逐字节不变；5 个负例均失败,uv run python packages/suspension_kernel/scripts/check_module_layering.py --strict --final && uv run --package suspension-multibody pytest packages/suspension_multibody/tests/architecture -q,2026-09-22,0,写范围：新增 joints/ 包、cases/kc_quasi_static/contract.py、cases/axle_dynamic.py、cases/vehicle_dynamic.py；不得动 C++ 内核（注册表已完备）；constant_velocity→convel 收口到一处；验收含 8 种副中 kc 发出 universal/cylindrical/convel/inplane/fixed 且内核接受
03,建立模板与连接点的双列数据模型并解耦 role 与模板,single-full,DONE,02,tasks/20260922-03-template-model,Template/PartDefinition/ConnectionDefinition/PropertySlot/OutputDeclaration 可构造可序列化；连接点可同时带 joint 列与 bushing 列；缺列与双空列与重复 role 均报错；**六个 role 各有 RoleSpec 且接口一致**；子系统 role 与实现模板解耦（同 role 可注册多模板并按名选择）；新增 role 不改 Template 结构,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/templates -q,2026-09-22,0,写范围：新增 templates/ 包；本步只建数据结构与注册表，不接线到装配；不得同时改 preparation/assembly/types.py（与 04 写范围冲突）；**需求 20/D11 落点**：采用单一 Template 数据结构 + 声明式 RoleSpec 校验，不用基类+六个子类（用户要求所有子系统模板同一格式，对标 Adams 的 .tpl 只有一种格式而 MAJOR_ROLE 只是字段）；RoleSpec 字段 required_mounts／required_slots／outputs／has_torque_channel；六个 role：suspension/steering/wheel/chassis/brake/drive，其中仅 brake 与 drive 有 has_torque_channel=True；校验在 register 与 instantiate 两处且报错点名缺失的挂点或槽位；role 不表达可选性（转向可缺席、制动驱动仅整车属总成层声明 D5/D8）；内置双叉臂模板须与现役 K/C 映射逐点一致（K 13 约束、C 9 约束+8 衬套）
04,从 build_front_axle 拆出六类子系统（含简化制动/驱动与转向可缺席）,single-full,IN_PROGRESS,03,tasks/20260922-04-subsystems,悬架/转向/车轮/车身/制动/驱动可独立实例化；转向子系统可缺席（同一模型去掉转向后其余产物逐项差集一致，含转向的默认路径逐位不变）；暴露可供 10 消费的总成能力描述；简化制动/驱动为可替换模板（0 刚体、只发轮端力矩、参数与 Adams 简单版逐参数对标）；与现役 build_front_axle 产物逐项对照差异为零或逐项登记理由,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/subsystems -q,TODO,0,"写范围：新增 subsystems/ 包、preparation/assembly/{front_axle,vehicle}.py、schema/model.py（仅需求 15：转向缺席的声明方式与相应校验，不得改 symmetric_proxy/explicit 拓扑语义与其他字段）、schema/vehicle.py（仅需求 17/D8 的制动参数子集：补 brake_mu／piston_area／effective_piston_radius 三个参数槽，不得改 SteeringSystemSpec 与 required_bodies）；**两处 schema 的新增字段都不得改变现有 model_dump 输出**（api.py:116/284 把 model_dump 的哈希写进 Provenance.model_hash，会动基线）；**需求 15/D5**：单轴侧转向可缺席（rack 体 :643-647、tie_rod :655-660、tie 球铰 :838-873、rack 中心点与 rack_guide :874-903 整体不产出，rack_center 硬点随之不必填；不得用退化 rack 体替代），整车侧不放开；**需求 17/D8**：制动/驱动可用性——悬架实验总成不含、整车实验总成必须含；**需求 19/D9**：单轴侧不产出 wheel.body（车轮归试验台，由 10 承接），整车侧 wheel 子系统维持现状；**需求 20/D11**：简化制动/驱动只是该 role 下的一个模板，role 接口对简化/复杂同构，装配层不得出现 if simplified 分支，须留「复杂桩模板替换、装配路径零改动」的硬门测试；制动参数只取 D10 子集；须对外暴露 AssemblyCapabilities（subsystems 用六类枚举且用 wheel 不用 tire）供 10 消费；本步不得改 templates/（03 已冻结其结构）；**2026-09-23 实测：TODO 10/13 DONE（1-6、11-13），7-10（简化制动/驱动模板、可替换性硬门、可用性矩阵）仍 TODO，属后续修订**；全量套件 814 passed／47 skipped／1 xfailed，四种组合逐位一致，六条门禁全绿，未重录任何基线"
05,模板实例化与 K/C 列激活,single-full,TODO,04,tasks/20260922-05-instantiation,同一模板 K/C 两模式几何体身份连接点驱动坐标完全一致仅激活列不同；with_mode 幂等且双向等价；C 模式保留仅 joint 列的点（9 个）；with_mode(C) 与直接实例化 C 逐位一致,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/instantiation -q,TODO,0,关键断言：with_mode(C) == 直接实例化 C（防第二套实现），且补 C→K 方向；**激活规则按实测**：有哪列激活哪列，仅 joint 列的点（臂外点/拉杆两端/齿条导轨）两模式都保留——C 模式实测 constraints=9，不得因「C 只激活衬套」而丢弃；C 模式衬套刚度不再全为零；本步会改 kc C 模式的文档内容→kc_baseline 需重录并登记前后值
06,弹性元件属性文件加载,single-full,TODO,05,tasks/20260922-06-properties,属性文件可加载；同模板+同属性逐位一致；换属性文件刚度阻尼按属性变化而模板与几何不变；属性缺失/类型错/越界均报错,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/properties -q,TODO,0,模板可直接给数值（现役行为）也可给引用；属性文件格式须在 SPEC 中先定并说明与 tests/data/*.json 约定的关系
07,输出声明与衍生输出（request 机制）,single-full,TODO,02,tasks/20260922-07-outputs,总成输出与试验台输出各自声明且有合并与冲突检测；衍生输出只用最小单位输出求值；现有 report 27 个指标重述后逐值一致,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/outputs packages/suspension_multibody/tests/metrics -q,TODO,0,"写范围：新增 outputs/ 包、report/metrics/**；不得改 preparation/ 与 subsystems/（与 04-06 写范围冲突）；可与 04-06 并行；迁移对象为 report/metrics/{axle,case_specific,common,vehicle}.py 的 27 个函数"
08,轮胎质量归属轮胎与内核惯量耦合,single-full,TODO,01,tasks/20260922-08-tire-mass,契约 schema 与文档含轮胎质量字段且内核接受；内核 Tire 含质量且求解器显式耦合；轮胎质量迁移后总质量与世界质心不变；ABI 七符号与版本门保持；两包构建与隔离 wheel 复验通过,uv run python packages/suspension_multibody/scripts/build_axle_native.py && uv run --package suspension-kernel pytest packages/suspension_kernel/tests -q,TODO,0,用户裁决 D2=乙（tire 独立惯量来源、求解器显式耦合）；**写范围：C++ 内核 + 契约 schema（multibody_model.schema.json 的 tire 定义 additionalProperties=false，必须先改）+ 契约文档读取 + native 镜像**；Python 侧发射落点（cases/vehicle_dynamic.py:327、cases/axle_dynamic.py:342、schema/vehicle.py:60）属 02 与 04-06 写范围，本步用文档级 fixture 证明字段被接受/解析与质量守恒，落点待 02/04-06 后串行补齐或并入 09；质量守恒断言先于数值差异评估
09,合并 kc_quasi_static 与 axle_dynamic 为准静态/动态 study,single-full,TODO,06;08,tasks/20260922-09-study-merge,同一装配入口支持 study=quasi_static 与 study=dynamic；准静态只激活垂向刚度与尺寸质量；力律选择对两 study 一致可用；两 study 结果对象可对照,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/studies packages/suspension_multibody/tests/results -q,TODO,0,用户裁决 D1：不新增内核力律，准静态接受 fiala/pac2002/native_brush 只取垂向刚度+尺寸+质量（模型退化）；内核 fiala_elastic_force 无曲线时即 k*penetration，可直接利用；**轴侧轮胎质量发射落点（cases/axle_dynamic.py:342）在本步补齐**；kc 从无轮胎变为有轮胎→kc_baseline 与 perf 基线需重录并登记；整车侧发射落点归 11
10,试验台抽取与总成×试验台正交组合（含接口自适应与单轴侧车轮）,single-full,TODO,07;09,tasks/20260922-10-rigs,总成×试验台矩阵可查询；现有 7 个组合行为保持；无效组合在准备阶段报错并点名；至少一个此前不存在的组合跑通；总成输出与试验台输出在组合中正确合并；试验台按总成实际提供的子系统自适应收缩接口（无转向总成下 rack 驱动轴与 rack 相关输出整体消失、K 网格降维为纯轮跳、试验台仍可跑且不抛内部异常）；单轴侧车轮由试验台提供（对标 Adams testrig_tire_property_file／testrig_wheel_radius／tire_stiffness），且试验台对简化/复杂制动驱动模板无分支,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/rigs packages/suspension_multibody/tests/simulation -q,TODO,0,"依赖 07（输出声明与合并）与 09；现有 7 组合：axle×{kc_quasi_static,axle_dynamic}、vehicle×{vehicle_dynamic,vehicle_kc,handling,ride_four_post,ride_random_road}；**需求 15/D6 落点**：cases/kc_quasi_static/contract.py:203-221 无条件 add rack_drive／rack_neutral、:288-290 的 axis_map[rack] 用 next(...)（无 rack 抛 StopIteration）、api.py:334-338 的 _K_COORDINATES 及 _k_grid :344-389／:440 三元组解包／:453-457 drives／:273 rack 位姿／:256 metric 均须按总成能力收缩；**需求 19/D9 落点**：单轴侧车轮（刚性轮+半径+轮胎刚度）由试验台声明，对标 __MDI_SUSPENSION_TESTRIG 的 testrig_* 参数；**需求 20/D11**：试验台不得因制动/驱动是简化或复杂模板而分支"
