layer,symbol,path,current_state,target_owner,migration_task,deletion_condition,validation
public_api,run_case,packages/suspension_multibody/src/suspension_multibody/api.py,legacy_entry,simulation.run_request,06,public API no direct kernel/case runner/decoder,api architecture tests
public_api,run_dynamic_case,packages/suspension_multibody/src/suspension_multibody/api.py,legacy_entry,simulation.run_request + TimeSeriesResult,03;06,new production path returns TimeSeriesResult,results/api/adams regression
public_api,_run_axle_quasi_static,packages/suspension_multibody/src/suspension_multibody/api.py,legacy_glue,axle service + simulation.run_request,04;06,replay glue no native/block decode,api and replay tests
public_api,_k_grid,packages/suspension_multibody/src/suspension_multibody/api.py,legacy_glue,kc_quasi_static compiler/service,02;06,K replay uses unified service,KC probe
public_api,_run_k,packages/suspension_multibody/src/suspension_multibody/api.py,legacy_glue,kc_quasi_static compiler/service,02;06,no direct contract runner,KC parity
public_api,_run_c,packages/suspension_multibody/src/suspension_multibody/api.py,legacy_glue,kc_quasi_static compiler/service,02;06,no direct contract runner,C probe
axle_service,run_axle_dynamics,packages/suspension_multibody/src/suspension_multibody/axle_dynamics/contract_run.py,compat_service,simulation.run_request + results.decoder,04,no duplicate execution/decode,axle regression
axle_service,native facade,packages/suspension_multibody/src/suspension_multibody/axle_dynamics/native.py,compat_facade,suspension_multibody.kernel.native,08,no production/test/script import,strict architecture gate
vehicle_service,run_vehicle_dynamics,packages/suspension_multibody/src/suspension_multibody/vehicle_dynamics.py,compat_entry,simulation.run_request + results.decoder,05,no unique execution/decode owner,vehicle regression
vehicle_service,prepare_vehicle_run,packages/suspension_multibody/src/suspension_multibody/vehicle_dynamics.py,domain_preparation,vehicle_dynamic compiler/service,05,preparation no native submission,vehicle contract tests
results,decode_contract_run,packages/suspension_multibody/src/suspension_multibody/results/raw.py,legacy_decode,results.decoder,03,no public caller invokes raw decoder directly,architecture audit
artifact,write_bundle,packages/suspension_multibody/src/suspension_multibody/io/results.py,legacy_writer,io.artifacts.write_artifact,06;07,no new artifact writer call,artifact tests
artifact,write_dynamic_bundle,packages/suspension_multibody/src/suspension_multibody/io/results.py,legacy_writer,io.artifacts.write_artifact,06;07,no new DynamicResultBundle output,artifact tests
artifact,write_axle_dynamics_artifact,packages/suspension_multibody/src/suspension_multibody/axle_dynamics/io.py,legacy_writer,io.artifacts.write_artifact,06;07,no new non-unified format,artifact tests
artifact,write_vehicle_dynamics_artifact,packages/suspension_multibody/src/suspension_multibody/vehicle_dynamics.py,legacy_writer,io.artifacts.write_artifact,06;07,no new non-unified format,artifact tests
kernel,run_contract,packages/suspension_multibody/src/suspension_multibody/kernel/__init__.py,shared_runtime,NativeContractBackend,02;08,only backend production call,architecture gate
backend,NativeContractBackend,packages/suspension_multibody/src/suspension_multibody/simulation/backend.py,target_owner,NativeContractBackend,02,remains sole native caller,contract parity
results,TimeSeriesResult,packages/suspension_multibody/src/suspension_multibody/results/timeseries.py,planned_type,results.timeseries,03,used by dynamic/replay production paths,results snapshots
metrics,case_specific,packages/suspension_multibody/src/suspension_multibody/metrics/case_specific.py,planned_owner,metrics.case_specific,07,all seven families registered or not_applicable,metrics regression
artifact,write_artifact,packages/suspension_multibody/src/suspension_multibody/io/artifacts.py,planned_owner,io.artifacts,06;07,sole new writer/reader owner,artifact roundtrip
baseline,direct_kernel_run_contract,packages/suspension_multibody/src/suspension_multibody/api.py,baseline_bypass,NativeContractBackend,02;04;06,lines 217/368/441 removed after request cutover,architecture gate
