id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,提取现役 symmetric_proxy 的 K/C 映射作为模板数据来源,DONE,每个连接点的 K 列与 C 列有 file:line 证据；两列皆同（外点与拉杆）与仅单列（臂内点）的情形被分别标出,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/architecture -q,2026-09-22,0,来源 preparation/assembly/front_axle.py:694/759 等分支；本步只读不改；产出放 raw/
2,定义 PartDefinition 与 ConnectionDefinition,DONE,连接点可表达仅 joint 列／仅 bushing 列／两列同时存在三种情形,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/templates -q,2026-09-22,0,joint 列的副名须引用 02 的统一表；bushing 列须能带属性引用（06 用）
3,定义弹性元件槽位 PropertySlot 与 OutputDeclaration,DONE,弹簧/减振器槽位可声明；属性槽可声明类型与单位；输出声明含名称单位来源且可序列化,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/templates -q,2026-09-22,0,OutputDeclaration 本步只建结构不实现求值（07）
4,定义 Template 本体与序列化往返,DONE,Template 含 role/parts/connections/弹性元件槽位/property_slots/outputs；序列化再反序列化后逐字段一致,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/templates -q,2026-09-22,0,序列化格式须与仓库既有 JSON 约定一致；role 是普通字段（枚举值之一），Template 结构不因 role 而变
5,定义六个 role 的 RoleSpec 与声明式校验,DONE,suspension／steering／wheel／chassis／brake／drive 六份 RoleSpec 均存在且字段（required_mounts／required_slots／outputs／has_torque_channel）与 SPEC 第 4 条逐条一致；brake 与 drive 的 has_torque_channel=True、其余四个 False；校验在 register 与 instantiate 两处生效且报错点名缺失的挂点或槽位；新增第七份 RoleSpec 不改 Template 字段集,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/templates -q,2026-09-22,0,采用单一 Template 数据结构 + 声明式 RoleSpec，不用基类+六个子类（用户要求所有模板同一格式，Adams 的 .tpl 亦然）；role 不表达可选性——转向可缺席／制动驱动仅整车属总成层声明（D5/D8）；负例：缺挂点、缺槽位、填完后槽位仍空
6,建立模板注册表,DONE,按名注册与取用可用；重名注册／取用未注册名／模板缺 name 三例均报错；注册时按 role 的 RoleSpec 校验并点名缺失项,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/templates -q,2026-09-22,0,专家注册、使用者按名引用；报错信息点名冲突的模板名；RoleSpec 校验时机之一在本步
7,内置双叉臂模板与逐点对照测试,DONE,模板每个连接点的 K/C 列与 build_front_axle 实测产出逐点一致（K 13 约束、C 9 约束 + 8 衬套为对照基线）,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/templates -q,2026-09-22,0,这是 05 实例化的关键前提；对照须逐点而非仅比数量
8,构造负例并确认全部失败,DONE,连接点两列皆缺声明／重复 role／引用不存在的副名／属性槽重名／缺 role 必需挂点／缺 role 必需槽位 六例均失败并点名原因,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/templates -q,2026-09-22,0,负例须断言具体失败原因（挂点与槽位的负例须点名缺的是哪一个）
9,验证本步未触碰现役路径,DONE,动态哈希 26/26 逐位一致；K/C parity 0；8 family 0；--strict --final 0；未重录任何基线,uv run python packages/suspension_multibody/scripts/build_axle_native.py && uv run python packages/suspension_multibody/scripts/dynamic_hash_sentinel.py --check && uv run python packages/suspension_multibody/scripts/kc_parity_check.py --check && uv run python packages/suspension_multibody/scripts/case_parity_check.py && uv run python packages/suspension_kernel/scripts/check_module_layering.py --strict --final,2026-09-22,0,本步纯新增不应改变任何现役行为；若基线变动说明误触现役路径，须停止上报
10,收尾静态检查与状态回填,DONE,ruff 与 ty 退出 0；git diff --check 干净；PROGRESS 与父级状态一致,uv run --all-packages ruff check . && uv run --all-packages ty check . && git diff --check,2026-09-22,0,父 SUBTASKS.csv 第 03 行状态由主代理回填
