id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,清点现有 7 个组合的模型侧与 case 侧职责边界,TODO,每个组合的驱动坐标来源、时间网格来源、结果排布来源有 file:line 证据；模型侧与 case 侧边界因 family 而异之处被点名,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/simulation -q,,0,现状 simulation/dispatch.py:20-33 注册 7 个 compiler；产出放 raw/
2,定义试验台数据结构与注册表,TODO,试验台可声明要求的坐标、驱动方式、求解器默认、独有输出；可注册与按名取用,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/rigs -q,,0,新增 rigs/ 包；不得引入新依赖
3,总成注册可驱动坐标与最小单位输出,TODO,总成声明其名义坐标空间与自带输出；与 07 的输出声明机制对接,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/rigs -q,,0,依赖 07 的输出声明；总成输出与试验台输出的归属须分清
4,改为按总成×试验台组合解析,TODO,运行=选总成+选试验台；组合矩阵可声明式查询全部合法组合；解析消费 04 的总成能力描述而非探测 bodies 名字,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/rigs packages/suspension_multibody/tests/simulation -q,,0,改造 simulation/dispatch.py 与 compiler 解析；family 名兼容性保持
5,实现试验台接口按总成能力自适应收缩（需求 15／D6）,TODO,同一 KC 试验台在含转向与不含转向两种单轴总成上都能跑；不含转向时 rack 驱动轴与 rack 相关输出整体消失、K 网格降维为纯轮跳；含转向时行为不变；不以填零或跳过占位实现,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/rigs packages/suspension_multibody/tests/simulation -q,,0,改造点：cases/kc_quasi_static/contract.py:284-293（`_driven_coordinates` 内） 无条件 add rack_drive／rack_neutral、:360-362（函数 case_document 内）的 axis_map[rack] 用 next(...)（无 rack 抛 StopIteration 即直接崩溃点）、api.py:334-338 的 _K_COORDINATES 被 _k_grid :344-389 两条分支消费、:440 三元组解包、:453-457 drives、:273 rack 位姿、:256 时间序列 metric；C 模式固定 rack neutral（:542-546）与 adams／replay／signals 的 rack 名属既有路径，不在收缩范围
6,验证现有 7 个组合行为不变,TODO,7 个组合全部可用；默认路径文档字节与结果不改变或逐项登记,uv run python packages/suspension_multibody/scripts/case_parity_check.py && uv run --package suspension-multibody pytest packages/suspension_multibody/tests/cases packages/suspension_multibody/tests/simulation -q,,0,若某组合行为变化须判断是重构回归还是物理改变，前者必须修掉
7,无效组合在准备阶段报错并点名,TODO,试验台要求总成结构上不可能提供的坐标时报错并点名具体坐标与提供方；负例测试通过,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/rigs -q,,0,不得只说「不支持」；须可定位；与第 5 步的收缩判据不同——收缩用于可选子系统，报错用于不可能满足的要求，不得用收缩掩盖错误配置
8,落地一个此前不存在的组合,TODO,axle×ride_four_post 或 axle×ride_random_road 跑通；未为新组合复制驱动坐标时间网格结果排布的代码,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/rigs -q,,0,这是正交性的证据；新组合端到端跑通（含结果可比）
9,实现单轴侧车轮由试验台声明（需求 19／D9）,TODO,试验台可声明 tire_property_file／wheel_radius／tire_stiffness；单轴组合下生效、整车组合下 wheel 由总成提供且不重复提供,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/rigs -q,,0,对标 Adams __MDI_SUSPENSION_TESTRIG（testrig_tire_property_file='RIGID_WHEEL'、testrig_wheel_radius=300.0、tire_stiffness=200.0）；现役单轴侧 VerticalTireElement（front_axle.py:561-574）物理表示不变，只把归属声明移到试验台侧
10,断言试验台对制动/驱动模板身份无分支（需求 20／D11）,TODO,试验台代码对 brake／drive 的处理不出现按模板名／按有无刚体／按 simplified 的判断；用复杂桩模板替换简化模板后试验台零改动跑通,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/rigs packages/suspension_multibody/tests/simulation -q,,0,试验台消费的是 role 的力矩通道与参数槽，不是模板身份；模板本身由 04 提供，本步只做断言与零改动证明
11,跑门禁全集与全量回归,TODO,8 family 全通过；动态哈希与 --strict --final 保持绿或已登记；全量 pytest 无新增失败；tests/data 除已登记项外无 diff,uv run python packages/suspension_multibody/scripts/build_axle_native.py && uv run python packages/suspension_multibody/scripts/dynamic_hash_sentinel.py --check && uv run python packages/suspension_multibody/scripts/case_parity_check.py && uv run python packages/suspension_kernel/scripts/check_module_layering.py --strict --final && uv run --package suspension-multibody pytest packages/suspension_multibody/tests -q,,0,全量套件基线为 783 passed/1 skipped/1 xfailed（主代理实测）；现有 family 全走含转向路径，不得因收缩逻辑而变
12,收尾静态检查与状态回填,TODO,ruff/ty/git diff --check 干净；PROGRESS 含基线重录台账（若有）与自适应收缩、单轴侧车轮、模板无分支的对照证据；父级状态由主代理回填,uv run --all-packages ruff check . && uv run --all-packages ty check . && git diff --check,,0,vehicle 系列基线若受影响须单独裁决并登记，不得以重构为名顺手重录
