id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,清点 build_vehicle 的前后轴组装与车身体交接,DONE,前后轴组装、前缀重命名、车身体并入有 file:line 证据；轴侧 chassis 与整车车身的差异被写明,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/vehicle -q,2026-09-23,0,整车总成 = 前后悬架 + 转向 + 车身 + 车轮 + 制动 + 驱动；build_vehicle 保持签名与 VehicleAssembly 字段不变（适配器），capabilities 已挂 DEFAULT_VEHICLE_SUBSYSTEMS（六类全含）
2,定义整车总成组装的子系统输入输出,DONE,整车总成=前后悬架+转向+车身+车轮+制动+驱动；与单轴悬架实验总成共享同一套子系统定义,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/vehicle_assembly -q,2026-09-23,0,后悬架落点：build_vehicle 对前后轴各调一次 build_front_axle 并加 front_/rear_ 前缀；tests/vehicle_assembly 12 passed 断言整车体数 23、含 wheel_*
3,实现整车总成组装并与现役产物逐项对照,DONE,体集合与顺序 points constraints ideal_constraints elements connections wheel_specs body_aliases 逐项一致或差异登记,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/vehicle_assembly -q,2026-09-23,0,车身子系统：整车侧由 _body_from_spec(model.chassis) 造真车身，轴侧 chassis 并入（既有逻辑保留，本步显式登记该交接）
4,接线 build_vehicle 保留签名与返回类型,DONE,build_vehicle 签名与 VehicleAssembly 字段不变；组合路径产出与现役逐位一致,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/vehicle -q,2026-09-23,0,整车 KC 试验台接入：rigs 层把 vehicle_kc 与整车总成配对（resolve_combination 归属判定为 vehicle）
5,验证车身子系统交接,DONE,轴侧 chassis 固定体与整车车身 _body_from_spec(model.chassis) 的交接有测试证明（身份/质量/重命名规则）,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/vehicle_assembly -q,2026-09-23,0,**整车侧轮胎质量发射落点（审核 B4）**：WheelSpec 新增 tire_mass（exclude=True，不进 model_dump），_build_tires 传入 AxleTire.mass_kg，cases/vehicle_dynamic.py 的 _tire_entry 在 mass>0 时发射 mass/inertia；零质量路径文档逐字节不变
6,整车实验总成接整车 KC 试验台,DONE,整车总成与整车 KC 试验台可组装并端到端跑通,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/vehicle_assembly packages/suspension_multibody/tests/cases -q,2026-09-23,0,与现役 build_vehicle 等价：整车总质量在 tire_mass=0 与 5.0 下均为 3080（质量只是换归属）；tests/vehicle_assembly 12 passed
7,补齐整车侧轮胎质量发射落点,DONE,cases/vehicle_dynamic.py 与 preparation/vehicle_dynamic.py 把质量写进 tire entry；整车总质量与质心不变,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/vehicle_assembly packages/suspension_multibody/tests/vehicle -q,2026-09-23,0,需求 15/D5 不对称锁定：VehicleModel.steering 仍为必填（is_required()）、缺省即报错；同文件另断言单轴侧可缺席转向——两侧不对称被显式锁定
8,接入制动与驱动子系统并锁定幅值语义（需求 17／D8）,DONE,整车总成子系统集合含 brake／drive；力矩按 role 通道下发到车轮；brake_torque 为非负幅值且不自行翻转符号；与现役 _build_wheel_torque_signals 逐值一致,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/vehicle_assembly packages/suspension_multibody/tests/vehicle -q,2026-09-23,0,整车 KC 试验台与总成的组合由 rigs/combine 承接（10 的成果），本步登记
9,证明整车组装对制动/驱动模板身份无分支（需求 20／D11）,DONE,用复杂桩模板替换简化制动/驱动模板后，本步整车组装代码零改动即可跑通,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/vehicle_assembly -q,2026-09-23,0,需求 19/D9：整车侧 build_vehicle 造 wheel_* 体（单轴侧不造），tests/vehicle_assembly 12 passed 断言该差异
10,登记整车侧转向不对称并加锁定测试,DONE,整车模型缺少转向（steering 缺失或 rack／tie_rod 刚体缺失）时仍然校验失败；测试指明这是 D5 的有意不对称；5 个 vehicle family 行为不变,uv run --package suspension-multibody pytest packages/suspension_multibody/tests/vehicle_assembly packages/suspension_multibody/tests/vehicle -q,2026-09-23,0,需求 20/D11：整车组装不检查模板是否简化；简化/复杂替换由 tests/subsystems 的 AST 门覆盖
11,验证整车系列基线不变,DONE,vehicle_dynamics_baseline 8 case 逐位一致；case_parity 的 vehicle_dynamic 与 vehicle_kc family 通过,uv run python packages/suspension_multibody/scripts/case_parity_check.py,2026-09-23,0,两包 uv build 均成功；全量 1028 passed／1 skipped／1 xfailed（较 10 后的 1016 增 12 = 本步 tests/vehicle_assembly 的 12 项）；case_parity 8 accepted、dynamic_hash 26/26 逐字节一致；ruff/ty 全树通过
12,跑门禁全集与全量回归,DONE,--strict --final 0；动态哈希与 K/C parity 保持绿；全量 pytest 无新增失败,uv run python packages/suspension_multibody/scripts/build_axle_native.py && uv run python packages/suspension_multibody/scripts/dynamic_hash_sentinel.py --check && uv run python packages/suspension_multibody/scripts/kc_parity_check.py --check && uv run python packages/suspension_kernel/scripts/check_module_layering.py --strict --final && uv run --package suspension-multibody pytest packages/suspension_multibody/tests -q,2026-09-23,0,状态回填完成
13,收尾静态检查与状态回填,DONE,ruff/ty/git diff --check 干净；PROGRESS 含对照表、基线结论、转向不对称登记与制动驱动接入证据；父级状态由主代理回填,uv run --all-packages ruff check . && uv run --all-packages ty check . && git diff --check,2026-09-23,0,（若存在）收尾：tests/data 与 layering_baseline.json 无 diff，git diff --check 干净
